frame,class_id,conf,x1,y1,w,h
32,9,0.8708006143569946,775,559,100,49
32,1,0.8681908249855042,997,629,111,172
33,1,0.9575743675231934,999,627,110,174
33,38,0.7289074659347534,1091,662,45,103
34,1,0.8478522896766663,994,630,116,194
34,32,0.8192773461341858,991,644,120,213
35,1,0.903317928314209,997,623,118,213
35,32,0.8341317772865295,993,645,120,216
36,38,0.8216712474822998,998,627,130,237
37,38,0.9218271970748901,1100,661,33,111
37,38,0.8400256633758545,997,634,128,227
38,1,0.9425774216651917,1000,635,117,209
38,38,0.7688899040222168,1000,655,120,205
39,1,0.9171921014785767,1004,631,118,190
40,1,0.9752703905105591,1004,631,126,212
41,1,0.9860353469848633,1008,621,118,224
41,38,0.8066826462745667,1009,773,47,96
42,1,0.946405291557312,1007,629,128,213
42,38,0.7133349776268005,1009,769,45,106
43,1,0.924323558807373,1010,628,117,221
43,38,0.8173068761825562,1008,643,97,233
43,38,0.7918300628662109,1011,762,44,117
43,9,0.7819064855575562,807,451,100,44
43,1,0.7232985496520996,1103,652,38,104
44,1,0.949083149433136,1011,618,112,226
44,9,0.8203045129776001,808,443,103,45
44,1,0.8033882975578308,1102,653,38,106
45,1,0.9881145358085632,1013,624,115,199
45,1,0.7216294407844543,1104,653,35,103
46,1,0.8859490752220154,1017,624,123,208
47,9,0.933395266532898,810,412,101,48
47,1,0.8329444527626038,1023,623,113,192
49,1,0.9915681481361389,1026,613,114,208
49,2,0.9407362341880798,1031,707,91,169
50,9,0.9485785961151123,805,382,107,47
50,2,0.8821032643318176,1036,703,97,165
50,38,0.8218938708305359,1232,531,172,495
51,2,0.8900066614151001,1038,678,102,182
51,1,0.7732616066932678,1036,606,115,214
52,1,0.9675880074501038,1038,599,118,244
52,2,0.7896944880485535,1048,689,95,172
53,1,0.9937536120414734,1039,604,121,227
53,9,0.8027952313423157,803,350,106,41
54,1,0.9968133568763733,1044,601,119,217
55,1,0.996371865272522,1045,592,119,260
55,9,0.7537131309509277,801,327,93,42
56,1,0.9979242086410522,1048,586,118,249
56,37,0.7834003567695618,1080,737,44,131
57,1,0.9993788003921509,1046,587,120,248
57,9,0.8533678650856018,792,298,99,48
58,11,0.9043065309524536,1048,593,105,268
58,9,0.8415019512176514,790,286,94,50
58,37,0.8261319398880005,1060,639,76,220
59,11,0.938212513923645,1049,591,104,255
60,11,0.9362975358963013,1043,591,112,253
61,11,0.9953609108924866,1045,592,109,258
61,38,0.8303067088127136,1216,352,125,420
62,11,0.9986603260040283,1041,586,113,264
63,11,0.9926772117614746,1040,586,113,260
64,11,0.9974738955497742,1038,584,113,277
65,11,0.776097297668457,1036,587,112,240
65,1,0.7117626070976257,1034,578,114,244
66,1,0.8132980465888977,1033,581,115,242
67,1,0.8661063313484192,1032,575,114,276
68,11,0.7371777892112732,1030,588,106,252
69,11,0.9636699557304382,1024,584,111,249
70,1,0.8713882565498352,1020,577,119,239
71,1,0.8445035815238953,1019,570,125,217
72,11,0.9032180905342102,1019,574,113,243
73,11,0.8559233546257019,1015,572,115,244
74,1,0.8985009789466858,1010,569,122,229
75,1,0.8719457983970642,1015,559,109,277
76,1,0.8763777613639832,1006,565,117,212
77,1,0.9651141166687012,1001,565,121,207
77,37,0.8321162462234497,1036,668,67,176
78,1,0.9950809478759766,994,566,125,219
78,37,0.9625509977340698,1052,734,34,120
78,37,0.7261863350868225,1030,656,69,197
79,1,0.9911465048789978,991,563,124,192
79,37,0.7246701717376709,1042,714,41,142
80,1,0.9941978454589844,989,568,118,217
80,37,0.7213246822357178,1039,718,43,137
81,1,0.9977510571479797,983,567,123,224
81,38,0.8670300245285034,1036,733,41,117
82,1,0.9983477592468262,978,566,123,214
82,37,0.8639891743659973,1030,706,45,144
83,1,0.9973509311676025,971,568,126,205
83,37,0.8179479241371155,1010,675,67,171
84,1,0.997638463973999,967,565,123,189
84,37,0.8443408012390137,999,657,76,189
85,1,0.9869482517242432,961,566,127,194
86,1,0.9984140396118164,961,564,125,201
86,37,0.8401858806610107,992,649,82,200
87,1,0.9990875720977783,957,564,127,206
87,37,0.9484103322029114,1006,682,60,172
88,1,0.9890853762626648,954,563,127,219
89,1,0.9704439640045166,950,565,128,229
90,1,0.9960143566131592,945,556,138,215
90,37,0.8830924034118652,998,677,59,181
